code,system
N130.00,readv2
N130000,readv2
N140300,readv2
N140700,readv2
N130100,readv2
N140400,readv2
N140800,readv2
N130300,readv2
N140600,readv2
N140A00,readv2
N140.00,readv2
N140000,readv2
N140.11,readv2
N140z00,readv2
N140100,readv2
N140200,readv2
N140900,readv2
Zw04300,readv2
Zw04400,readv2
Zw04500,readv2
106536.0,med
12094.0,med
15331.0,med
3370.0,med
35117.0,med
41147.0,med
43577.0,med
45296.0,med
52139.0,med
62612.0,med
69388.0,med
72614.0,med
73730.0,med
91625.0,med
93836.0,med
93849.0,med
94588.0,med
97870.0,med
98630.0,med
9912.0,med
M48.0,icd10
